MovieName,tags
Kirumi,Crime Anu Charan Anucharan
Maya,Horror Ashwin Saravanan Nayanthara
Thani Oruvan,Action Mohan Raja Jayam Ravi
Papanasam,Drama Jeethu Joseph Kamal Haasan
Indru Netru Naalai,Comedy R. Ravikumar Vishnu Vishal
Demonte Colony,Horror R. Ajay Gnanamuthu Arulnithi
36 Vayadhinile,Drama Roshan Andrews Jyotika
Uttama Villain,Comedy Ramesh Aravind Kamal Haasan
Kanchana 2,Comedy Lawrence Raghavendra Lawrence Raghavendra
OK Kanmani,Romance Mani Ratnam Dulquer Salmaan
Rajathandhiram,Action A.G. Amid Veera Bahu
Enakkul Oruvan,Thriller Prasad Ramar Siddharth
Press 1 for Tamil,Comedy Ramprakash Rayappa Nakhul
Yennai Arindhaal,Action Gautham Vasudev Menon Ajith Kumar
I,Action S. Shankar Vikram
Dhuruvangal Pathinaaru,Action Karthick Naren Rahman
Chennai 600028 Second Innings,Comedy Venkat Prabhu Jai
Achcham Yenbadhu Madamaiyada,Action Gautham Vasudev Menon T.R. Silambarasan
Ammani,Drama Lakshmi Ramakrishnan Semmalar Annam
Aandavan Kattalai,Drama M. Manikandan Vijay Sethupathi
Kuttrame Thandanai,Crime M. Manikandan Vidharth
Dharmadurai,Drama Seenu Ramasamy Vijay Sethupathi
Joker,Comedy Raju Murugan Raju Saravanan
Kabali,Action Pa. Ranjith Rajinikanth
Metro,Action Ananda Krishnan Shirish
Iraivi,Crime Karthik Subbaraj S.J. Suryah
Uriyadi,Action Vijay Kumar Vijay Kumar
24,Action Vikram K. Kumar Suriya
Theri,Action Atlee Kumar Joseph Vijay
Oopiri,Comedy Vamshi Paidipally Nagarjuna Akkineni
Kadhalum Kadanthu Pogum,Comedy Nalan Kumarasamy Vijay Sethupathi
Pichaikkaran,Action Sasi Vijay Antony
Saala Khadoos,Action Sudha Kongara Madhavan
Crime 23,Action Arivazhagan Venkatachalam Arun Vijay
Muthuramalingam,Action Rajadurai Priya Anand
Dream Factory,Drama Arun Chidambaram Jiya Anil Manne
Yaman,Action Jeeva Shankar Vijay Antony
Ennodu Vilayadu,Thriller Arun Krishnaswami Bharath Srinivasan
Kadhal Kan Kattudhe,Drama Shivaraj Aneeruth
Pagadi Aattam,Crime Ram K. Chandran Rahman
Rum,Horror Sai Bharath Arjun Chidambaram
Singam 3,Action Hari Suriya
Bogan,Action Lakshman Jayam Ravi
Enakku Vaaitha Adimaigal,Comedy Mahendran Rajamani Jai
Koditta Idangalai Nirappuga,Comedy Parthiban Shanthnu Bhagyaraj
Adhe Kangal,Action Rohin Venkatesan R. Aravindraj
Bairavaa,Action Bharathan Joseph Vijay
Lens,Drama Jayaprakash Radhakrishnan Anand Sami
Aruvi,Drama Arun Prabhu Purushothaman Aditi Balan
Ulkuththu,Thriller Caarthick Raju Dr. Chef Damodaran
Balloon,Horror Sinish Anjali
Kalavaadiya Pozhuthugal,Romance Thangar Bachan Bhoomika Chawla
Velaikkaran,Action Mohan Raja Sivakarthikeyan
Sakka Podu Podu Raja,Action G.L. Sethuraman Aryan
Bhrama.com,Action P.S. Vijayakumar Bhagyaraj
Chennai 2 Singapore,Comedy Abbas Akbaar Abbas Akbar
12-12-1950,Comedy Selvaah Yogi Babu
Kodiveeran,Action M. Muthaiya Gnanasambandam
Richie,Action Gautham Ramachandran Nivin Pauly
Annadurai,Action G. Srinivasan Vijay Antony
Thiruttu Payale 2,Thriller Susi Ganesan Bobby Simha
English Padam,Comedy Kumaresh Kumar Sreeja Das
Indrajith,Action Kalaprabhu Thanu Gautham Karthik
En Aaloda Seruppa Kaanom,Comedy Jagan K.P. Jagan
Theeran Adhigaram Ondru,Action H. Vinoth Karthi
C/o Surya,Action Suseenthiran Sundeep Kishan
Ippadai Vellum,Action Gaurav Narayanan Udhayanidhi Stalin
Aramm,Drama Gopi Nainar Nayanthara
The House Next Door,Horror Milind Rau Prakash Belawadi
Vizhithiru,Drama Meera Kathiravan Abhinaya
Kadaisi Bench Karthi,Comedy Ravee Paargavan Gnanasambandam
Mersal,Action Atlee Kumar Joseph Vijay
Meyaadha Maan,Romance Rathna Kumar Vaibhav Reddy
Solo,Action Bejoy Nambiar Dulquer Salmaan
Hara Hara Mahadevaki,Comedy Santhosh P. Jayakumar Kovai Babu
Karuppan,Action R. Panneerselvam Sami Rajalingam
Spyder,Action A.R. Murugadoss Mahesh Babu
Bayama Irukku,Comedy Jawahar Santhosh Prathap
Aayirathil Iruvar,Action Saran Vinay Rai
Kalavu Thozhirchalai,Thriller T Krishna Samy T. Krishnasamy
Veedevadu,Thriller Tatineni Satya Esha Gupta
Thupparivaalan,Action Myshkin Vishal
Kathanayagan,Comedy Tha. Muruganatham Meera Krishna
Neruppu Da,Action Nikki Galrani Nagineedu
Kurangu Bommai,Drama Nithilan Vidharth
Maayavan,Action C.V. Kumar Sundeep Kishan
Puriyaatha Puthir,Thriller Ranjit Jeyakodi Vijay Sethupathi
Vivegam,Action Siva Ajith Kumar
Thappu Thanda,Crime Srikantan Ajay Ghosh
Taramani,Drama Ram Anjali
Velaiyilla Pattathari 2,Action Soundarya R. Ashwin Riaz Ahmed
Podhuvaga En Manasu Thangam,Comedy Thalapathy Prabhu Parthiban
Kootathil Oruthan,Comedy T.J. Gnanavel Ashok Selvan
Nibunan,Action Arun Vaidyanathan Varalaxmi Sarathkumar
Meesaya murukku,Biography Hiphop Tamizha Adhi Hiphop Tamizha Adhi
Vikram Vedha,Action Gayatri Pushkar
Rubaai,Action M. Anbazhagan Anandhi
Magalir Mattum,Drama Bramma G. Jyotika
Pandigai,Action Feroz Kreshna
Thiri,Drama Ashok Amritharaj S. A.L. Azhagappan
Gemini Ganesanum Suruli Rajanum,Comedy Ilavarasu Odam Regina Cassandra
Chennaiyil Oru Naal 2,Thriller Jpr Sarath Kumar
Ivan Thanthiran,Action R. Kannan RJ Balaji
Adhagappattathu Magajanangalay,Comedy Inba Sekhar Inbasekhar
Yaanum Theeyavan,Action Prashanth G Sekr Prashanth G Sekar
Vanamagan,Action A.L. Vijay Arjun
Anbanavan Asaradhavan Adangadhavan,Action Adhik Ravichandran Tamannaah Bhatia
Maragatha Nananya,Adventure Ark Saravan Aadhi
Uru,Thriller Vicky Anand Vicky Anand
Peechaankai,Comedy Ashok Rskarthiik
Rangoon,Action Rajkumar Periasamy Gautham Karthik
Sathriyan,Action Vikram Prabhu Manjima Mohan
Bongu,Crime Taj Pooja Bisht
Oru Kidayin Karunai Manu,Drama Suresh Sangaiah Suresh Sangaiah
Oru Iyakkunarin Kadhal Diary,Drama V Brabhakar Velu Prabhakaran
7 Naatkal,Thriller Gautham V.R. M.S. Bhaskar
Thondan,Crime Samuthirakani Arthana Binu
Brindavanam,Drama Radha Mohan Arulnithi
Inayathalam,Drama Sankar Suresh Shankar-Suresh
Sangili Bungili Kadhava Thorae,Comedy Ike Radha Nivas Adithan
Yeidhavan,Action Sakthi Rajasekaran Sandra Amy
Saravanan Irukka Bayamaen,Action Ezhil Karai Natrajan
Enga Amma Rani,Action S. Bani Dhansika
Baahubali 2: The Conclusion,Action S.S. Rajamouli Prabhas
Nagarvalam,Drama Marxx Yogi Babu
Sathya,Action Deepan Roma Asrani
Kadamban - Taqatwar,Action N. Ragavan Arya
Sivalinga - Kanchana Returns,Horror P. Vasu Bhanupriya
Power Paandi,Action Dhanush Dhanush
8 Thottakkal,Action Sri Ganesh Vetri
Kaatru Veliyidai,Romance Mani Ratnam Karthi
Dora,Action Dass Ramasamy Nayanthara
Kavan,Action K.V. Anand Vijay Sethupathi
Kadugu,Drama Vijay Milton Radhika Prasidhha
Paambhu Sattai,Action Adam Dasan Bobby Simha
Dhayam,Thriller Kannan Rangaswamy Aira Agarval
Vaigai Express,Thriller Shaji Kailas Shaji Kailas
Julieum 4 Perum,Family Satheesh Amudhavaanan
Bruce Lee,Action Prashanth Pandiraj Anandraj
Kattappava Kanom,Comedy Mani Seiyon Yogi Babu
Oru Mugathirai,Drama R. Senthil Nadan Chaams
Maanagaram,Action Lokesh Kanagaraj Sundeep Kishan
ACP Shiva,Action Sai Ramani Joy Badlani
Mupparimanam,Romance Adhiroopan Aari
Yaakkai,Romance Kuzhandai Velappan M.S. Bhaskar
Peranbu,Drama Ram Amudhavan Karuppiah
Maari 2,Action Balaji Mohan Dhanush
Adanga Maru,Action Karthik Thangavel Jayam Ravi
Kanaa,Drama Arunraja Kamaraj Aishwarya Rajesh
Seethakaathi,Drama Balaji Tharaneetharan Vijay Sethupathi
Thuppakki Munai,Action Dinesh Selvaraj Vikram Prabhu
Thuppakki Munai,Action Dinesh Selvaraj Vikram Prabhu
2,Action S. Shankar Rajinikanth
Kaatrin Mozhi,Comedy Radha Mohan Jyotika
Sarkar,Action A.R. Murugadoss Joseph Vijay
Pandem Kodi 2,Action N. Linguswamy Vishal
Vada Chennai,Action Vetrimaaran Dhanush
Aan Devathai,Action Thamira Ilavarasu
Raatchasan,Action Ram Kumar Vishnu Vishal
Nota,Drama Anand Shankar Vijay Deverakonda
96,Drama C. Prem Kumar Vijay Sethupathi
Pariyerum Perumal,Drama Mari Selvaraj Prabunath
Chekka Chivantha Vaanam,Action Mani Ratnam Slavisa Ivanovic
Raja Ranguski,Mystery Dharani Dharan Shirish
Saamy Square,Action Hari Vikram
U Turn,Mystery Pawan Kumar Samantha Ruth Prabhu
Seema Raja,Action Ponram Sivakarthikeyan
Imaikkaa Nodigal,Action R. Ajay Gnanamuthu Nayanthara
Lakshmi,Drama A.L. Vijay Ditya Bhande
Odu Raja Odu,Comedy Jathin Sanker Raj Nishanth Ravindaran
Kolamavu Kokila,Comedy Nelson Nayanthara
Pyaar Prema Kaadhal,Romance Elan Harish Kalyan
Vishwaroopam 2,Action Vishwaroopam Kamal Haasan
Ghajinikanth,Comedy Santhosh P. Jayakumar Arya
Junga,Action Gokul Vijay Sethupathi
Mohini,Horror R. Madhesh Trisha Krishnan
Chinababu,Action Pandiraj Karthi
Tamizh Padam 2.0,Comedy C.S. Amudhan Jiiva
Goli Soda 2,Drama Vijay Milton Samuthirakani
Iravukku Aayiram Kangal,Action Mu. Maran Abhinayashree
Irumbu Thirai,Action P.S. Mithran Vishal
Mahanati,Biography Savitri Nag Ashwin
Iruttu Araiyil Murattu Kuthu,Horror Santhosh P. Jayakumar Yaashika Aanand
Kaala,Action Pa. Ranjith Rajinikanth
Karu,Drama A.L. Vijay Sai Pallavi
Mercury,Horror Karthik Subbaraj Prabhu Deva
Tik Tik Tik,Action Shakti Soundar Rajan Jayam Ravi
6 Athiyayam,Horror Ajayan Bala Lokesh Rajendran
Naachiyaar,Action Bala Ivana
Savarakathi,Comedy G.R. Adithya Ram
Kalakalappu 2,Comedy Sundar C. Yogi Babu
Merku Thodarchi Malai,Drama Lenin Bharati Leninbharati
Bhaagamathie,Action Ashok G. Anushka Shetty
Nimir,Comedy Priya Darshan Priyadarshan
Oru Nalla Naal Paathu Solren,Comedy P. Arumugakumar Annayya
Thaanaa Serndha Koottam,Action Vignesh Shivan Suriya
Sketch,Action Vijay Chandar Vikram
Enai Noki Paayum Thota,Action Gautham Vasudev Menon Dhanush
Adithya Varma,Drama Gireesaaya Dhruv Vikram
Kaithi,Action Lokesh Kanagaraj Karthi
Bigil,Action Atlee Kumar Joseph Vijay
100% Kadhal,Comedy M.M. Chandramouli G.V. Prakash Kumar
Asuran,Action Vetrimaaran Dhanush
Kaappaan,Action K.V. Anand Suriya
Magamuni,Crime Santha Kumar Arya
Saaho,Action Sujeeth Prabhas
Sixer,Comedy Chachi Vaibhav Reddy
Bakrid,Drama Jagadeesan Subu Vikranth
Kennedy Club,Drama Suseenthiran M. Sasikumar
Comali,Comedy Pradeep Ranganathan Jayam Ravi
Nerkonda Paarvai,Action H. Vinoth Ajith Kumar
Jackpot,Action Kalyaan Jyotika
A1,Comedy K. Johnson Santhanam
Aame,Drama Rathna Kumar Amala Paul
Kadaram Kondan,Action Rajesh M. Selva Vikram
Sivappu Manjal Pachai,Action Sasi Siddharth
Gurkha,Action Sam Anton Yogi Babu
Vennila Kabaddi Kuzhu 2,Action Selva Sekaran Appukutty
Bodhai Yeri Budhi Maari,Drama Chandru Charlie
Kalavani 2,Comedy A. Sarkunam Vimal
Raatchasi,Drama Sy Gowthamraj Jyotika
Jiivi,Drama V.J. Gopinath Vetri
Dharma Prabhu,Drama S. Muthukumaran Yogi Babu
House Owner,Drama Lakshmi Ramakrishnan Lovelyn Chandrasekhar
Sindhubaadh,Action S.U. Arun Kumar Vijay Sethupathi
Thumbaa,Adventure Harish Ram L.H. Kpy Bala
Game Over,Drama Ashwin Saravanan Taapsee Pannu
Kolaigaran,Action Andrew Louis Vijay Antony
NGK,Action K. Selvaraghavan Suriya
Devi 2,Comedy A.L. Vijay Prabhu Deva
Neeya 2,Horror Suresh Jai
Ayogya,Action Venkat Mohan Vishal
Kee,Action Kalees Jiiva
K-13,Action Barath Neelakantan Arulnithi
Mr. Local,Action M. Rajesh Sivakarthikeyan
100,Action Sam Anton Atharvaa Murali
Vellai Pookal,Crime Vivek Elangovan Vivek
Mehandi Circus,Drama Raju Saravanan Madhampatty Rangaraj
Kanchana 3,Action Lawrence Raghavendra Lawrence Raghavendra
Watchman,Thriller A.L. Vijay G.V. Prakash Kumar
Gangs Of Madras,Action C.V. Kumar Daniel Balaji
Uriyadi 2,Action Vijay Kumar Vijay Kumar
Kuppathu Raja,Comedy Baba Bhaskar G.V. Prakash Kumar
Natpe Thunai,Comedy Parthiban Desingu Hiphop Tamizha Adhi
Super Deluxe,Action Thiagarajan Kumararaja Vijay Sethupathi
Airaa,Drama Sarjun Nayanthara
Agni Devi,Crime Jpr Sathish Krishnan
Nedunalvaadai,Drama Selvakannan Elvis Alexander
Ispade Rajavum Idhaya Raniyum,Drama Ranjit Jeyakodi Harish Kalyan
Sathru,Thriller Naveen Nanjundan Master Ajithesh
Boomerang,Action R. Kannan Atharvaa Murali
Thadam,Action Magizh Thirumeni Arun Vijay
90 ML,Comedy Anita Udeep Oviya
LKG,Comedy Prabhu RJ Balaji
Vantha Rajavathaan Varuven,Action Sundar C. T.R. Silambarasan
Dhilluku Dhuddu 2,Comedy Rambala Santhanam
Dev,Action Rajath Ravishankar Karthi
Charlie Chaplin 2,Comedy Sakthi Chidambaram Prabhu Deva
Petta,Action Karthik Subbaraj Rajinikanth
Viswasam,Action Siva Ajith Kumar
